Name / Nom,Region/Région,Language  / Langue,Number of Beds / Nombre de lits,Addresse/Adresse ,Municipality/Municipalité,Postal Code / Code Postal,Telephone Number / No de téléphone,Location
The Kenneth E. Spencer Nursing Home Inc.,1 - Moncton,English / Anglais,200,"35, Atlantic Baptist Avenue.",Moncton,E1E 4N3,(506) 858-7870,"(46.059747, -64.858165)"
The United Church Home for Senior Citizens - Drew Nursing Home,1 - Moncton,English / Anglais,118,"165, Main Street",Sackville,E4L 4S2,(506) 364-4900,"(45.903274, -64.373289)"
Forest Dale Home Inc.,1 - Moncton,English / Anglais,50,"5836, King Street",Riverside Albert,E4H 4B9,(506) 882-3015,"(45.755143, -64.744016)"
Foyer Saint-Antoine,1 - Moncton,French / Français,30,"7, Avenue de l'Ã‰glise",Saint-Antoine,E4V 1L6,(506) 525-4040,"(46.36214, -64.753644)"
Foyer St. Thomas de la Vallée de Memramcook Inc.,1 - Moncton,French / Français,30,"100, rue Notre-Dame",Memramcook,E4K 3W3,(506) 758-2110,"(46.099285, -64.747837)"
Jordan Lifecare Centre Inc.,1 - Moncton,English / Anglais,50,"747, Sanatorium Road",The Glades,E4J 1W6,(506) 756-3355,"(45.937727, -65.079568)"
Manoir Saint-Jean Baptiste Inc.,1 - Moncton,Bilingual / Bilingue,50,"5, Avenue RichardÂ Avenue",Bouctouche,E4S 3T2,(506) 743-7344,"(46.477058, -64.721492)"
Rexton Lions Nursing Home Inc.,1 - Moncton,English / Anglais,30,"23, Main Street",Rexton,E4W 0E4,(506) 523-7720,"(46.659337, -64.876164)"
Shannex RLC Ltd. - Monarch Hall,1 - Moncton,English / Anglais,72,"826, Coverdale Road",Riverview,E1B 0J1,(506) 387-7770,"(46.055777, -64.828427)"
Shannex RLC Ltd. - Pavillon Richard,1 - Moncton,Bilingual / Bilingue,64,189 rue Morton Street,Moncton,E1A 9V6,(506) 354-2381,"(46.110925, -64.781693)"
The Salvation Army Lakeview Manor,1 - Moncton,English / Anglais,50,"50, Suffolk Road",Riverview,E1B 4K6,(506) 387-2012,"(46.06464, -64.810702)"
Villa du Repos Inc.,1 - Moncton,Bilingual / Bilingue,186,"125, avenue Murphy Avenue",Moncton,E1A 8V2,(506) 857-3560,"(46.118247, -64.777176)"
Villa Maria Inc.,1 - Moncton,French / Français,73,45 rue Vue de la riviÃ¨re,St.-Louis-de-Kent,E4X 0C6,(506) 876-3488,"(46.744642, -64.977828)"
Villa Providence Shédiac Inc.,1 - Moncton,French / Français,190,"403, rue Main",Shédiac,E4P 2B9,(506) 532-4484,"(46.218341, -64.536915)"
Westford Nursing Home,1 - Moncton,English / Anglais,30,"57, West Main Street",Port Elgin,E4M 1L7,(506) 538-1302,"(46.041825, -64.090464)"
Campobello Lodge,2 - Saint John,English / Anglais,30,"640, route 774, Unit 2",Welshpool,E5E 1A5,(506) 752-7101,"(44.886916, -66.949779)"
Carleton Kirk Lodge,2 - Saint John,English / Anglais,70,"2, Carleton Kirk Place",Saint John,E2M 5B8,(506) 643-7040,"(45.25717, -66.078417)"
Church of St. John and St. Stephen Home Inc.,2 - Saint John,English / Anglais,80,"130,  University Avenue",Saint John,E2K 4K3,(506) 643-6001,"(45.295836, -66.091197)"
Dr. V. A. Snow Centre Inc.,2 - Saint John,English / Anglais,50,"54, DeMille Court",Hampton,E5N 5S7,(506) 832-6210,"(45.514946, -65.832022)"
Fundy Nursing Home,2 - Saint John,English / Anglais,27,"34, Hospital Street",Black's Harbour,E5H 1K2,(506) 456-4218,"(45.061793, -66.786058)"
Grand Manan Nursing Home Inc.,2 - Saint John,English / Anglais,30,"642, Route 776",Grand Manan,E5G 3C1,(506) 662-7111,"(44.725991, -66.758216)"
Kennebec Manor,2 - Saint John,English / Anglais,70,"475, Woodward Avenue",Saint John,E2K 4N1,(506) 632-9628,"(45.293364, -66.110181)"
Kings Way Care Centre Inc.,2 - Saint John,English / Anglais,75,"8, Squire Drive",Quispamsis,E2G 2A7,(506) 847-1131,"(45.435904, -65.961461)"
Kiwanis Nursing Home Inc.,2 - Saint John,English / Anglais,70,"11, Bryant Drive",Sussex,E4E 2P3,(506) 432-3118,"(45.726885, -65.488413)"
Lincourt Manor Inc.,2 - Saint John,English / Anglais,60,"1, Chipman Street",St. Stephen,E3L 2W9,(506) 466-7855,"(45.195376, -67.26395)"
Loch Lomond Villa Inc.,2 - Saint John,English / Anglais,190,"185, Loch Lomond Road",Saint John,E2J 3S3,(506) 643-7175,"(45.290184, -66.032719)"
Passamaquoddy Lodge Inc.,2 - Saint John,English / Anglais,60,"230, Sophia Street",St. Andrews,E5B 2C2,(506) 529-5240,"(45.077773, -67.044493)"
Rocmaura Inc.,2 - Saint John,English / Anglais,150,"10, Park Street",Saint John,E2K 4P1,(506) 643-7050,"(45.28063, -66.06478)"
Shannex RLC Ltd. - Embassy Hall,2 - Saint John,English / Anglais,72,"70, Swanton Drive",Quispamsis,E2E 0M3,(506) 848-3170,"(45.419016, -65.946461)"
Shannex RLC Ltd. - Tucker Hall,2 - Saint John,English / Anglais,72,"55,  Bloom Lane",Saint John,E2K 0J9,(506) 649-4770,"(45.296622, -66.09634)"
Turnbull Nursing Home Inc.,2 - Saint John,English / Anglais,50,"231, Britain Street",Saint John,E2L 0A4,(506) 643-7200,"(45.26824, -66.051006)"
Carleton Manor Inc.,3 - Fredericton,English / Anglais,110,"130, Burtt Street",Woodstock,E7M 5G6,(506) 325-4373,"(46.168327, -67.590221)"
Central Carleton Nursing Home Inc.,3 - Fredericton,English / Anglais,30,"139, Rockland Road",Hartland,E7P 1E9,(506) 375-3033,"(46.304326, -67.517663)"
Central New Brunswick Nursing Home Inc.,3 - Fredericton,English / Anglais,30,"3458, Route 625",Boiestown,E6A 1C9,(506) 369-7262,"(46.451498, -66.435181)"
Orchard View,3 - Fredericton,English / Anglais,40,"2230, Route 102",Gagetown,E5M 1J6,(506) 488-3544,"(45.778231, -66.153672)"
Mill Cove Nursing Home Inc.,3 - Fredericton,English / Anglais,65,"12, Lakeview Lane",Mill Cove,E4C-3E3Â,(506) 488-3033,"(45.880082, -66.00536)"
Nashwaak Villa Inc.,3 - Fredericton,English / Anglais,30,"32,  Lime Kiln Road",Stanley,E6B 1E9,(506) 367-7731,"(46.276995, -66.746074)"
Pine Grove,3 - Fredericton,English / Anglais,70,"521, Woodstock Road",Fredericton,E3B 2J2,(506) 444-3400,"(45.96187, -66.671412)"
River View Manor Inc.,3 - Fredericton,English / Anglais,40,"96, Hospital Street",Bath,E7J 1B9,(506) 278-6010,"(46.509581, -67.582882)"
Shannex RLC Ltd. - Thomas Hall,3 - Fredericton,English / Anglais,72,"375, Rainsford Lane",Fredericton,E3B 7T1,(506) 447-6440,"(45.952323, -66.697319)"
Shannex RLC Ltd. - Frederick Hall,3 - Fredericton,English / Anglais,36,"379, Rainsford Lane",Fredericton,E3B 0K4,(506) 455-7004,"(45.952052, -66.697323)"
Tobique Valley Manor Inc.,3 - Fredericton,English / Anglais,30,"5, Manor Drive",Plaster Rock,E7G 2H6,(506) 356-6040,"(46.898037, -67.39656)"
Victoria Glen Manor Inc.,3 - Fredericton,English / Anglais,60,"20, Tepper Lane",Perth-Andover,E7H 0B8,(506) 273-4885,"(46.747333, -67.718362)"
Wauklehegan Manor Inc.,3 - Fredericton,English / Anglais,36,"11, Saunders Road",McAdam,E6J 1K9,(506) 784-6303,"(45.585313, -67.335135)"
White Rapids Manor Inc.,3 - Fredericton,English / Anglais,40,"235, Sunbury Drive",Fredericton Junction,E5L 1S1,(506) 368-6508,"(45.662063, -66.610186)"
W. G. Bishop Nursing Home,3 - Fredericton,English / Anglais,30,"1100,  Pleasant Drive",Minto,E4B 2V7,(506) 327-7853,"(46.09797, -66.049214)"
York Manor Inc.,3 - Fredericton,English / Anglais,214,"100, Sunset Drive",Fredericton,E3A 1A3,(506) 444-3880,"(45.9778, -66.6864)"
Foyer Notre-Dame de Saint-Léonard Inc.,4 - Edmundston,French / Français,45,"604, rue Principal",Saint Léonard,E7E 2H5,(506) 423-3100,"(47.167088, -67.928274)"
Foyer Ste. Elizabeth Inc.,4 - Edmundston,French / Français,50,"25, rue des Ormes",Baker Brook,E7A 2J6,(506) 258-3020,"(47.306533, -68.511089)"
Grand Falls Manor Inc. - Villa des Chutes/Falls Villa,4 - Edmundston,French / Français,69,"433, rue Evangeline",Grand-Sault,E3Z 1G5,(506) 473-7726,"(47.055672, -67.725822)"
Les Résidences Jodin Inc.,4 - Edmundston,French / Français,180,"465, boulevard Hébert-Nord",Edmundston,E3V 0E9,(506) 501-3014,"(47.385322, -68.308374)"
Résidence Mgr. Melanson Inc.,4 - Edmundston,French / Français,42,"11, rue Levesque",Saint-Quentin,E8A 1T1,(506) 235-6030,"(47.498958, -67.391634)"
Campbellton Nursing Home Inc.,5 - Restigouche,English / Anglais,100,"101, Dover Street",Campbellton,E3N 3K6,(506) 789-7350,"(48.000201, -66.667701)"
Dalhousie Nursing Home Inc.,5 - Restigouche,Bilingual / Bilingue,90,"296, rue Victoria Street, Unit /Unité 1",Dalhousie,E8C 2R8,(506) 684-7800,"(48.063261, -66.365957)"
Villa Sormany Inc.,6 - Chaleur,French / Français,61,"1289, chemin Robertville",Robertville,E8K 2V9,(506) 542-2731,"(47.697195, -65.769002)"
Robert I. Knowles Veterans Unit - Villa Chaleur Inc.,6 - Chaleur,Bilingual / Bilingue,13,"795, rue Champlain Street",Bathurst,E2A 4M8,(506) 549-5588,"(47.619092, -65.676918)"
Foyer Notre-Dame de Lourdes,6 - Chaleur,French / Français,130,"2055, Vallée Lourdes",Bathurst,E2A 4P8,(506) 549-5085,"(47.650859, -65.689956)"
Complexe Rendez-vous Inc.,7 - Miramichi,French / Français,30,"125, rue L. Allain",Neguac,E9G 1J4,(506) 776-0640,"(47.246335, -65.092115)"
Foyer Assomption,7 - Miramichi,French / Français,50,"62, rue Assomption",Rogersville,E4Y 1S5,(506) 775-2040,"(46.734817, -65.424458)"
Miramichi Senior Citizens Home Inc.,7 - Miramichi,English / Anglais,81,"1400, Water Street",Miramichi,E1N 1A4,(506) 778-6810,"(47.02258, -65.481274)"
Mount Saint Joseph of Chatham N. B.,7 - Miramichi,English / Anglais,133,"51,  Lobban Avenue",Miramichi,E1N 2W8,(506) 778-6550,"(47.024865, -65.469275)"
Tabusintac Nursing Home,7 - Miramichi,English / Anglais,30,"10,  Old Manse Road",Tabusintac,E9H 1G4,(506) 779-4100,"(47.327157, -65.010463)"
Résidences Inkerman Inc.,8 - Péninsule acadienne,French / Français,30,"1171, chemin Pallot",Inkerman,E8P 1C2,(506) 336-3909,"(47.65932, -64.827001)"
Résidences Lucien Saindon Inc,8 - Péninsule acadienne,French / Français,54,"26, rue de l'HÃ´pital",LamÃ¨que,E8T 1C3,(506) 344-3232,"(47.791558, -64.6546)"
Résidences Mgr. Chiasson Inc.,8 - Péninsule acadienne,French / Français,85,"130, boulevard J.-D.-Gauthier",Shippagan,E8S 1N8,(506) 336-3266,"(47.744052, -64.72445)"
Manoir Edith B. Pinet,8 - Péninsule acadienne,French / Français,30,"1189, rue des Fondateurs",Paquetville,E8R 1A9,(506) 764-2444,"(47.6702, -65.107)"
Villa Beauséjour Inc.,8 - Péninsule acadienne,French / Français,80,"274, boul. St-Pierre Ouest",Caraquet,E1W 1B7,(506) 726-2744,"(47.786011, -64.972162)"
Villa Saint-Joseph Inc.,8 - Péninsule acadienne,French / Français,74,"585, rue Saulnier Ouest",Tracadie-Sheila,E1X 1B5,(506) 394-4800Â Â Â,"(47.506299, -64.917199)"
